"","FOD_ID","FIRE_NAME","FIRE_YEAR","DISCOVERY_DATE","DISCOVERY_DOY","NWCG_CAUSE_CLASSIFICATION","NWCG_GENERAL_CAUSE","FIRE_SIZE","FIRE_SIZE_CLASS","LATITUDE","LONGITUDE","OWNER_DESCR","STATE"
"1",4651,"SHERIDAN GLACIER FIR",2005,2005-05-01,121,"Human","Recreation and ceremony",11.4,"C",60.50611111,-145.3438889,"OTHER FEDERAL","AK"
"2",6689,"MUSKEG",2005,2005-04-29,119,"Human","Debris and open burning",305,"E",59.08722222,-135.4413889,"STATE OR PRIVATE","AK"
"3",41403,"SEATTLE CREEK",2009,2009-09-19,262,"Natural","Natural",10,"C",60.87388889,-149.1205556,"USFS","AK"
"4",53638,NA,1992,1992-05-12,133,"Human","Debris and open burning",40,"C",60.5,-149.8666667,"USFS","AK"
"5",76285,NA,1993,1993-08-18,230,"Human","Missing data/not specified/undetermined",27,"C",57.91833333,-134.9566667,"STATE OR PRIVATE","AK"
"6",76323,NA,1993,1993-07-13,194,"Human","Recreation and ceremony",10.3,"C",60.41666667,-149.3833333,"STATE OR PRIVATE","AK"
"7",92757,"NOSSUK",1996,1996-08-04,217,"Human","Missing data/not specified/undetermined",10,"C",55.7,-133.3333333,"USFS","AK"
"8",97105,"GRANITE CREEK",1996,1996-05-03,124,"Human","Debris and open burning",85,"C",60.73333333,-149.3166667,"USFS","AK"
"9",97106,"SHERIDAN GLACIER",1996,1996-05-05,126,"Human","Recreation and ceremony",50,"C",60.505,-145.3116667,"STATE OR PRIVATE","AK"
"10",104930,"JUNEAU LAKE",1997,1997-06-25,176,"Human","Recreation and ceremony",10,"C",60.575,-149.875,"USFS","AK"
"11",109456,"MILL",1998,1998-07-02,183,"Human","Missing data/not specified/undetermined",118,"D",55.68166667,-132.615,"STATE OR PRIVATE","AK"
"12",127850,"SNUG HARBOR",1999,1999-06-08,159,"Human","Other causes",10,"C",60.48333333,-149.8166667,"STATE OR PRIVATE","AK"
"13",147361,"KENAI LAKE",2001,2001-06-25,176,"Human","Debris and open burning",3260,"F",60.41027778,-149.4736111,"USFS","AK"
"14",174656,NA,1993,1993-07-12,193,"Natural","Natural",13,"C",61.266,-155.569,"BIA","AK"
"15",174668,"F274775D",1994,1994-05-05,125,"Human","Debris and open burning",10,"C",63.433,-143.1522,"BIA","AK"
"16",174669,"FF14134B",1994,1994-07-31,212,"Human","Missing data/not specified/undetermined",80,"C",66.383,-143.6692,"BIA","AK"
"17",174672,"B217",1995,1995-05-28,148,"Human","Recreation and ceremony",17,"C",62.4326,-163.7857,"FWS","AK"
"18",174674,"B290",1995,1995-06-12,163,"Natural","Natural",90,"C",66.6997,-143.9526,"BIA","AK"
"19",174675,"B310",1995,1995-06-14,165,"Natural","Natural",20,"C",66.3497,-143.3026,"FWS","AK"
"20",174677,"B391",1995,1995-07-29,210,"Natural","Natural",2850,"F",66.8327,-160.7361,"TRIBAL","AK"
"21",175112,NA,1992,1992-06-10,162,"Human","Other causes",27,"C",61.8493,-156.3523,"BIA","AK"
"22",175113,NA,1992,1992-06-10,162,"Human","Other causes",27,"C",65.8494,-156.3693,"BIA","AK"
"23",175114,NA,1992,1992-06-11,163,"Human","Missing data/not specified/undetermined",15,"C",62.783,-141.1855,"BIA","AK"
"24",213301,"203029",1992,1992-05-04,125,"Human","Smoking",170,"D",57.0659,-154.0857,"BIA","AK"
"25",213302,"FBKS SW 66",1992,1992-05-06,127,"Human","Arson/incendiarism",1410,"F",64.0163,-146.3023,"OTHER FEDERAL","AK"
"26",213303,"232035",1992,1992-05-06,127,"Human","Arson/incendiarism",960,"E",64.0329,-146.3523,"OTHER FEDERAL","AK"
"27",213305,"204052",1992,1992-05-13,134,"Human","Recreation and ceremony",230,"D",57.866,-155.1521,"FWS","AK"
"28",213306,"204056",1992,1992-05-15,136,"Human","Recreation and ceremony",30,"C",55.5325,-161.2853,"OTHER FEDERAL","AK"
"29",213307,"204075",1992,1992-05-19,140,"Human","Recreation and ceremony",210,"D",56.0325,-158.8353,"BIA","AK"
"30",213313,"204127",1992,1992-05-24,145,"Human","Recreation and ceremony",10,"C",57.916,-155.5521,"FWS","AK"
"31",213314,"FAI S 27",1992,1992-05-26,147,"Human","Arson/incendiarism",170,"D",64.3662,-147.6857,"OTHER FEDERAL","AK"
"32",213320,"BTT SW 49",1992,1992-05-31,152,"Natural","Natural",10,"C",66.3162,-152.9193,"FWS","AK"
